,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
59661,595678,Exploiting Android Apps for beginners - Check Apps Security,software,Beginner Level,Has the right balance of theory and hands-on. Good set of tools discussed. Offered by leaders in Mobile App Security.,"[""Understand Android's Architecture and Security Model "", 'Get familiar with tools for development, reverse engineering and security analysis', 'Pentesting Android Apps ']"
59662,1466958,Transitioning from Excel to QlikSense - Handson training,software,All Levels,Transition Smoothly from Excel by taking the 1st Step to Learn QlikSense BI,"['How to use QlikSense', 'How to Load data in QlikSense', 'How to create different type of Charts in QlikSense']"
59672,3944452,Python Projects (Level 1),software,All Levels,"Master python by learning projects and making amazing GUI applications, exciting games and much more","['Use of different python Libraries', 'Some fun and memorable python projects', 'Learn how to code in Python in simple and easy way.']"
59676,2337876,ANSYS ICEMCFD Hexa Basic course  (Part 2),software,Beginner Level,Become pro in Hexa mesh generation for CFD analysis,['How to create best quality hexa meshing for various types of cases in CFD']
59692,2182978,The Predictive Project Manager (No Coding skills needed),software,Beginner Level,Datascience and Machine Learning for Project Managers (EARN 5 PDUs),"['Are you a Project Manager or a Program Manager who is looking to know how to advance your career?  The blunt answer is you cannot if you do not break out of the traditional Project and Program Management.   This presentation is for those Projects / Program Manager who want to be Predictive. Being Predictive means you the project / program manager is able to use data science and machine learning techniques on your existing programs.  This presentation will help in changing your mindset to becoming more predictive and show through a case study how to apply Data Science and Machine Learning techniques in your every project/program management job.  Presentation will start from basics of data science and machine learning and move on to linking it with project management as per PMBOK®.', 'NextGen Project Management']"
59694,1999118,Build Python Flask Website with Bootstrap and API Data,software,Beginner Level,Python Flask - quickstart to Working with Flask on the Web,"['Create a Flask website', 'Pull JSON data from existing public REST API', 'Implement basic bootstrap UI with panels, table and form']"
59697,1931090,VMware vSphere 6.5 Administration Basics Ultimate Part 1,software,All Levels,VMware vSphere 6.5 Administration Basics Ultimate Part 1,"['Understand and describe the concept behind software-defined data center', 'Have a thorough understanding of vSphere', 'Create and deploy a virtual machine or ESXi host']"
59705,2557596,Learn SQL and prepare for Oracle SQL 1Z0-071 Certification,software,All Levels,Learn how to use SQL in Oracle database and additionally be prepared for Oracle Certification exam,"['Be prepared for Oracle 1Z0-071 certification exam', 'Learn essential SQL on any database', 'Test your knowledge with questions styled the same as the ones that are present on certification exam']"
59706,2469512,ASP.NET Core 3 with MVC and MongoDB,software,All Levels,Learn MongoDB NoSQL Usage within ASP.NET Core 3 and Create a CRUD  MVC Application with MongoDB as Back-end Database,"['They will learn building an MVC application with ASPNET Core 3 Using MongoDB as Database.', ""They will learn about NoSQL concepts ASPNET Core as Microsoft's latest  web framework."", 'Querying MongoDB database and how it connects to the MVC app']"
59708,2512542,Enterprise Architecture Tools of the Trade,software,All Levels,Lets use Power Query and several EA tools to create an EA repository..( ARCHIMATE ) ( ENTERPRISE ARCHITECT ) ( TOGAF ),"['How to clean enterprise architecture source data using MS Power Query', 'How to import enterprise architecture data into ARCHI or ORBUS iServer or LEANIX SaaS or BiZZdesign', 'How to create enterprise architecture viewpoints using ARCHI or ORBUS iServer or LEANIX SaaS or BiZZdesign']"
59709,3096892,Allen-Bradley RSLogix 500,software,Beginner Level,Programming the SLC 500 and Micrologix families of Allen-Bradley PLCs.,"[""How to program PLCs using Allen-Bradley's RSLogix 500 software"", 'How to use simulations in PLC programming', 'How to export, modify and re-import the symbol and description database']"
59778,3118134,"Learn Big-Data-IoT with PySpark, Spark Streaming and Kafka",software,All Levels,"Learn BigData and IoT with PySpark, Spark Streaming, Kafka, IoT Architecture, 40+ RDDs & Dataframes Functions- Hands-on","['Complete Pyspark, Spark Streaming, Kafka, Cluster Computing using Spark Jobs, AWS, Azure, GCP Clusters, 40+ data transformation and actions, Great projects']"
59785,3518134,"Build chat app, android studio (java) with firebase & SQLite",software,Beginner Level,Build a group and one to one chat using android studio with firebase realtime database and SQLite,"['Create a new android project', 'Create the interface using XML', 'Create a fireBase project']"
59786,1947808,Advanced Malware Analysis,software,Expert Level,"Evade malware using IDA Pro, OllyDbg, and WINDBG","['Malware behavior based on its class', 'Advanced dynamic and static malware analysis', 'Gain experience in working with OllyDbg, WINDBG, and IDA Pro']"
59806,2926508,Trial ABAP system with HANA database on SAP Cloud Platform,software,Beginner Level,Learn how to configure FREE trial ABAP system on the cloud for practicing the development of CDS view and AMDP procedure,"['Learn how to create Trial ABAP system instance on SAP Cloud Platform', 'Learn how to install ABAP Development Tool ( ADT ) in ECLIPSE IDE', 'Connect Trial ABAP system on cloud with ECLIPSE IDE']"
59823,400150,IFCI's Studies in Cybercrime: The Great SONY Hack of 2014,software,All Levels,Learn to investigate the North Korean hackers who launched a devastating cyber attack  against Sony Pictures in 2014.,"['Know more about the Sony hack than any of the newscasters and most cyber security experts', 'Learn about in-depth malware analysis and how it can create real and immediately actionable cyber threat intelligence', 'Learn about the history behind the Sony attack, the reasoning and methodologies  behind it and the geopolitical impact it incurred']"
59832,1355282,Data Structure - Part 2,software,Intermediate Level,"Create, Implement and Practice Data Structures with Detailed Implementation Analysis","['Be able to know and implement various data structures', 'Algorithms associated with data structures', 'Binary Tree']"
59838,2729762,SQL Server Database Administration (SQL DBA),software,All Levels,Learn SQL Server database administration (SQL DBA) from beginning.,"['SQL Server Database Administration - SQL DBA.', 'Basic Powershell', 'SQL DBA Interview Q & A']"
59842,3156470,ASP .NET Core. API User Identity & more + Azure Cloud deploy,software,Intermediate Level,"Build web api with user authorization & authentication with C# ASP.NET Core, Entity Framework, Azure + Linux/macOS guide","['Authenticate & authorize users via JWT tokens', 'Deploy C# ASP .NET Core application and Database to Azure Cloud', 'Automatic database migrations with Entity Framework Core']"
59845,4102296,Data Analytics with Pyspark,software,All Levels,Learn the basics of Pyspark,"['Spark and Big Data Overview', 'PySpark SQL Functions & Aggregations', 'How to extract data from multiple sources']"
59846,4214344,"Oracle Exadata from Scratch-Part1-Exadata Essentials X8, X8M",software,All Levels,Expert Exadata Knowledge. Outstanding Knowledge Transfer.,"['Learn Oracle Exadata from Scratch', 'Exadata Introduction - DMA Roles', 'Traditional RAC versus Exadata']"
59847,1971090,MySQL on linux for beginners: SQL database crash course,software,Beginner Level,Learn SQL Mysql for linux systems,"['Get database admin job', 'Create databases from scratch', 'Understand complex backends']"
59850,1679656,Firebase Fundamentals : Android,software,Beginner Level,This course is your first step towards a new career with the Introduction to Firebase backend in Android App,"['Good knowledge of Integrating Firebase in Android project-', 'You will be able to create dynamic apps which can save data and files from server and many more', 'We will learn to create Cloud Based Quick Notes App']"
59856,3561037,Machine learning and Lexicon approach to Sentiment analysis,software,Beginner Level,Machine learning and Lexicon based approach to Sentiment analysis using Twitter API,"['How to create twitter developer account and connect to twitter API', 'Download Tweets, clean and store them in to Pandas DataFrame', 'Learn about Tokenization, Lemmatization, Stemming and much more']"
59861,2766964,ArcGIS For Beginners (3 Module/Complete Edition),software,Beginner Level,"When purchasing the course, you can buy my course at the most affordable price  typing ARCGIS22 in the apply coupon part","['Have main informations about Geographic Information Systems, how to use ArcGIS Interfaces (Arcmap,Arccatalog)', 'How to use with arccatalog interface, how to create your own geodatabasefeature classes,shape files,layers and how to export your datas', 'How to work with raster and vector datas, how to define a projection system.']"
59869,2407708,Oracle PL/SQL  Programming & Certification,software,Beginner Level,Oracle PL/SQL Developer with IDE SQL Developer Demonstration and Certification objectives and resources,"['In this course, students can learn how to write PL/SQL Script to control database access with advance features', 'This course include Oracle PL/SQL Developer Certified Professional objectives and resources']"
59876,2274239,USB Interfacing with PIC Microcontroller,software,All Levels,This is a Step By Step Guide to USB Interfacing with PIC Microcontroller,"['Interface PIC Microcontroller with Computer or Laptop via USB Port', 'Create a Visual Interface for Your System to easily Control It', 'Write a Code to Make PIC Microcontroller recognize USB and use it to send and receive data']"
59877,952710,Python Celery for Distributed Tasks and Parallel Programming,software,Beginner Level,Learn how to Analyze data using Pandas and Spark and how to create background tasks using Celery framework and RabbitMQ,"['Pandas and spark for data analysis', 'Using Queus for parallel programing', 'Python celery as pipeline framework']"
59885,1505870,70-461 Session 7: Querying Microsoft SQL Server (SQL code),software,Intermediate Level,"SQL Transactions, DMVs and Cursor. For SQL Server 2012, 2014, 2016 and 2017. For exams 70-461 and 70-761.","['Learn about transactions, why they are important, and how you can use this.', 'Optimise queries, so that your database runs faster', 'Evaluate the use of row-based operations vs. set-based operations']"
59893,4223828,Introduction to Data Management,software,Intermediate Level,Data Management processes to improve the quality of the data in your organisation,"['Data Management Framework', 'Knowledge areas and workprocesses in data management', 'Data Quality and Data Management']"
59901,1717800,Data Analysis with Excel,software,All Levels,Excel tools for improve productivity and analytical skills,"['Create dashboards', 'Make decisions supported by data', 'Organize personal and business data']"
59912,3016040,Hands On Presto Mastery - Learn by doing!,software,Beginner Level,"Create an end to end Presto based pipeline and query data in HDFS, MySQL & Kafka via the Presto CLI, R Studio & Tableau","['A deep dive into PrestoSQL', 'Learn how to architect Presto based solutions', 'How to install and configure Presto']"
59917,3460986,Program Arduino Like A Professional with Registers,software,All Levels,This course will take you in a step by step guide on how to Program Arduino Like A Professional with Registers,"['Difference between Normal Arduino Programming and Register Level Programming', 'Level up Your Arduino Programming Skills with Register Level Programming', 'Arduino CPU in datasheet']"
59925,3970618,Practical python unit testing with Pytest + mocking |Pycharm,software,Intermediate Level,Learn Python testing automation with Pytest + live hands on examples. Learn Pytest for test driven approach with Pycharm,"['You will learn to write test cases with the Pytest framework in a practical way using Pycharm IDE', 'Appear confident in interviews and crack them easily', 'Configure and set up pycharm to work with Pytest']"
59943,4098344,Building A CRM Like Salesforce With No-Code Using Bubble,software,All Levels,Learn the step-by-step process to building a custom CRM like Salesforce without touching a single line of code.,"['How to build your own custom CRM like Salesforce without writing a single line of code', ""An overview of Bubble's no-code toolset"", 'How to set up your own custom database']"
59955,4387566,1Z0-931-21 - Oracle Autonomous Database 2021 Specialist,software,Intermediate Level,Oracle Autonomous Database 2021 Specialist,"['Deploy and administer Autonomous databases,', 'Autonomous Database (ADB) Shared', 'Autonomous Database Dedicated & Autonomous Database Cloud @ Customer']"
59957,4337232,Cybersecurity Fundamentals for End Users,software,Beginner Level,"Practical, nontechnical practices to secure your company or organization","['Identify major cybersecurity vulnerabilities in the company environment', 'Practice good account and password hygiene, keeping accounts secure', 'Understand physical security basics to avoid real-world equipment and data theft']"
59971,3147058,DAX Time Intelligence,software,All Levels,Master DAX time intelligence functions and analysis,"['How dates are handled and manipulated in DAX', 'Creating and using a traditional daily non-fiscal calendar table', 'Creating and using a daily fiscal based calendar']"
59978,432306,"Circuit Design, Analysis and Spice modeling using Multisim",software,All Levels,Learn how to operate the most important software for electronics circuit's applications.,"['Students will gain comprehensive understanding of Multisim for circuit design, its simulation and analysis.', 'By the end of this coursework, students will be able to design their own circuit in Multisim.', 'Students will be more interested in analysing the circuit in Multisim over pen and paper.']"
59979,4010734,"Map Academy: Get mapping quickly, with QGIS",software,Beginner Level,"Go from map zero to map hero with QGIS: 'heat maps', locator maps, election maps, density maps, analysis, design + more","[""How to make different map types (e.g. 'heat maps', locator maps, density maps, election maps - and more)"", 'Map making workflows - adding data, styling data, labelling, design, map layouts and more (including glowing maps)', 'The fundamentals of QGIS (100% free software, no license or payment required)']"
59990,2964688,ArcGis for beginners,software,Beginner Level,ArcGis for beginners,"['In this course you will learn basics of ArcGis program', 'Review of ArcGis software package', 'Different types of data and create them']"
60006,2183230,From Excel to Python | Knime: preprocess and visualize data,software,All Levels,Learn to pre-process and visualize data frames by using popular analytical software: Python & Knime & Excel,"['Work with data frames (data wrangling | manipulation | visualisation) to prepare and understand your data', 'Work with Knime analytics platform environmnet', ""Undestand the Python's syntaxes and how to work in Jupyter Notebook environment""]"
60007,4088526,Full Stack Telegram Bot from Scratch(Python + PSQL + Heroku),software,All Levels,How to build and deploy complete telegram bot with connected database,"['create telegram bot from scratch', 'build and connect Postgres Database to the application', 'deploy the application to Heroku and make it accessible for all telegram users']"
60012,1188238,Windows Passwords and Account Hacking,software,All Levels,Become an expert in Window Hacking and Password penetration and data manipulation.,"['Windows 7: Hacking and Account Penetration', 'Windows 8.1: Hacking and Account Penetration', 'Windows 10: Hacking and Account Penetration']"
60014,1483600,Learn Big Data : Complete Hadoop Ecosystem with Practicals,software,All Levels,Learn Complete Big Data (Spark + MongoDB + Pig + Hadoop + Hive + Cassandra + HBase + Redis + Beeline) with Examples,"['At the end of this course, students would understand the different Hadoop Related technologies i.e. Hadoop, Hive with NoSQL databases i.e. Hbase, Cassandra, Redis, MongoDB queries and commands that are required from developer or testers which are used in Development/Testing Arena and they can start working in development/testing profile.', 'At the end of this tutorial, students would be able to start their career in Development or Testing with this technology at different levels.']"
60029,4350070,Security in Office 365,software,All Levels,"Learn all about the types of threats and the security solutions in Office 365 to detect, protect and remediate risks","['Threats and data breaches targeting your data', 'Office 365 Threat Intelligence', 'Advanced Security Management in Office 365 (Cloud Application Security)']"
60046,3985264,Building A Tinder Clone With No-Code Using Bubble,software,All Levels,Learn the step-by-step process to building a Tinder clone without touching a single line of code.,"['How to build your own dating app like Tinder without writing a single line of code', ""An overview of Bubble's no-code toolset"", 'How to set up your own custom database']"
60063,3857172,Building A Job Board Like Indeed With No-Code Using Bubble,software,All Levels,Learn the step-by-step process of building your own job board like Indeed without touching a single line of code.,"['How to build your own job board like Indeed without writing a single line of code', ""An overview of Bubble's no-code toolset"", 'How to set-up your own custom database']"
60073,3663356,Mastering SQL using Postgresql,software,All Levels,"Learn key SQL concepts such as how to create database objects, write effective queries and many more","['Setup Postgres Database using Docker', 'Connect to Postgres using different interfaces such as psql, SQL Workbench, Jupyter with SQL magic etc.', 'Understand utilities to load the data']"
60075,2141530,NODE MCU:ESP 8266 - Micro Python Network Programming and IOT,software,Beginner Level,"With micropython and ESP8266 / ESP 32 - Learn Network protocols - HTTP REST API, MQTT, network socket programming & IOT","['Widely used IOT protocols such as HTTP - REST API, MQTT, Network socket programming', 'Learn to flush (load) and use micropython  in NODE MCU-8266', 'Use of IDE like Esplorer and uPYcraft']"
60085,2508484,Sentiment Analysis through Deep Learning with Keras & Python,software,Beginner Level,"Learn to apply sentiment analysis to your problems through a practical, real world use case.","['Learn industry grade sentiment analysis with less than 60 lines of code', 'Understand how sentiment analysis with deep learning is easy and efficient', 'Take your understanding to the next level by extending the modular code developed in this course']"
60099,2720928,SAP BRIM Training & Sample Exam Question C_HYBIL_2017,software,Beginner Level,"Included Study Books, Assessments and Everything you need to pass this exam Guaranteed.","['Will learn fundamentals and advanced know-how to explain the data objects Business Partner, Provider Order/Contract, Product, Master Agreement, Partner Agreement and Sharing Contract and the need for the BRIM Solution.', ""Will learn fundamentals and advanced know-how create/configure Convergent Charging's foundational components, role in the product/service definition, and technical architecture components."", 'Describe the creation and change processes of Provider Contract, Partner Agreement, Sharing Contract and Master Agreement and the replication of Provider Order and Contract replication.']"
60105,1077476,Professional guide for drone surveying,software,All Levels,Join the future,"['Concepts behind mapping and modeling using UAVs', 'Different software options used to automate flights', 'How to turn the data taken by UAVs into maps and 3D models']"
60109,3406118,The Complete Geospatial Data Science with Python Course,software,Beginner Level,"Learn Geopandas, Shapely, Fiona, and Rasterio with Many other Data Science Libraries including Pandas & Matplotlib.","['Learn Python for Geographic Data Science', 'Master low-level libraries (Shapely and Fiona) to have an in depth knowledge of Geospatial Libraries', 'Work with Raster data using Rasterio and Perform the most common Satellite Imagery Proceducres.']"
60123,3992072,Snowflake Database - The Modern Data Lake,software,All Levels,See how Snowflake can become your new modern data lake along with your data warehouse and everything else,"['How Snowflake Can Replace the Traditional Data Lake', 'How Snowflake Can Supplement the Traditional Data Lake', 'How Snowflake Can Act as a Query Engine for Your Data Lake']"
60124,1684050,Puppet 5 - From Beginner to Paid Professional: 2-in-1,software,Beginner Level,Acquire the key skills of Puppet to effectively manage and automate your IT infrastructure,"['Everything you need to become a Puppet professional, from creating manifests with Puppet 5.0 to managing and deploying your Puppet code on the cloud', ""Build complex configuration files with dynamic data using Puppet's EPP template mechanism"", 'Manage Docker and AWS with Puppet']"
60134,1681454,Azure Platform as a Service–Web & APIApplication Deployment,software,Expert Level,"Make use of Azure Services to build a custom PaaS Azure Cloud using App services, Database as a Service, and Data Proces","['Deliver high-bandwidth content with Azure CDN and Akamai', 'Load-test your applications with Azure Portal and VSTS', 'Manage and scale multiple databases with Azure SQL Elastic']"
60135,3303222,Image Processing with Python PIL,software,Beginner Level,Introduction to Images with Python,"['Image processing with Python', 'Loading images and getting data', 'How to resize, crop, copy&paste images with code']"
60194,2153002,Microsoft Excel Intermediate: Formulas & Functions and More,software,Intermediate Level,"Take your Excel skills to the next level with formulas & functions, tables, spreadsheet data tools and charts","['Our EXCEL INTERMEDIATE course will give you a solid understanding of Excel Formulas & Functions, along with more advanced tools and concepts', 'The course has its own workbook with exercises – downloadable within the first “General Introduction” module – so you are able to practice and reinforce what you have learned', 'Enhance your skills and the quality of your work with Formulas & Functions, using Tables, managing data, doing more with Charts and using SparkLines']"
60208,3776352,Data Engineering on Microsoft Azure: The Definitive Guide,software,All Levels,"Hands-On Introduction to Azure Data Services. Learn Data Factory, Synapse Analytics, SQL Database, and more","['Provision Azure SQL Databases.  Use query tools such as Azure Data Studio or SQL Server Management Studio (SSMS) to connect to Azure SQL databases', 'Create storage accounts to store unstructured and semi-structured data. use Azure Data Studio to upload data to Azure', 'Manage identities, keys, and secrets across different data platform technologies using Azure Key Vault']"
60213,3568163,Python for Beginners,software,All Levels,"Learn Python like a Professional, Start from the basics and go all the way to creating your own applications.","['In this course students learn python from basic to advance.', 'Detail working of Data Structure like list, tuple, set, dictionary, array etc', 'Fundamentals like  keywords, variables, data types, type conversion, identifiers, Operators, id() and type() functions, etc..']"
60220,3818676,APIs with Power BI and Other Advanced Techniques,software,Intermediate Level,Create a Weather Dashboard to Learn About APIs and JSON,['How to call an API using Power BI and create a report with the data']
60240,3245700,Intro to Django and Graphene,software,All Levels,"Build a data-driven library application, powered by Django Rest Framework and Graphene.","['Python', 'Django', 'Graphene']"
60245,877174,Data Structures From Scratch,software,All Levels,This course is designed to help you understand concepts of data structures in detail with applications,"['apply data structure concepts in different applications of computer science', 'compare and contrast different data structure based on application', 'write their own algorithms and can analyse between different algorithm']"
60253,2445706,Final Cut Pro X - Edit Boll,software,Beginner Level,Get straight to the point! Learn the basics of Final Cut Pro X and edit b-roll footage.,"['Editing b-roll footage by learning basic Final Cut Pro X', 'Hard drive and storing data', 'Create a new Library, Event & Project.']"
60265,4237660,Cybersecurity Foundation,software,Beginner Level,Certified by the Texas Department of Information Resources (DIR)—FY 21-22 (#125),"['To understand the definitions and foundational concepts', 'To understand the data and the information lifecycle process', 'To assess risk, attacks, and the impacts']"
60280,1461460,Transition from Excel to Power BI - Your 1st Step to PowerBI,software,All Levels,Get yourself comfortable with Power BI Environment and take a step by step approach for building stunning visualizations,"['How to get data in Power BI', 'How to create charts and metrics', 'How to write conditional statements in Power BI']"
60281,3013012,Stata Level 1 Fundamentals of Data Analysis,software,Beginner Level,Stata for complete beginners - All the basics for using Stata in quantitative data analysis,"['Perform simple descriptive and quantitative analysis in Stata', 'Manage quantitative information, variables, and data types in Stata.', 'Manipulate database structures and survey information in Stata']"
60284,2644538,Primavera P6 PPM Professional Advanced Features,software,Intermediate Level,This course was updated in 2021 and covers P6 Version 8 to 20 and explains the differences between the versions.,"['This course is aimed at teaching students the advanced features of Primavera Project Manager P6 PPM Professional Client up to an intermediate level.', '- Setting up and administering a database', '- Import/export']"
60292,2328320,Salesforce Lightning Framework with Real-world Examples,software,Beginner Level,"Learn about Salesforce Ligthning framework.Learn to program Lightning Framework with markup, JavaScript, CSS","['Efficiently create custom, reusable Lightning components and application.', 'Use Lightning components and applications throughout the Salesforce ecosystem.', 'Define input forms with client-side data validation.']"
60293,3020206,Follow Me to Learn Wireshark Packet Capture,software,Beginner Level,Follow Me to learn this incredible tool as we learn how to capture and analyze data packets.,"['A comprehensive introduction to Wireshark Packet Capture', 'How to create and leverage custom profiles', 'How to use Capture and Display filters']"
60312,2021724,"Kali Linux: Network Scanning, Pentesting & Digital Forensic",software,Intermediate Level,"A step by step guide to Digital Forensic, Pentesting & Network Scanning using various tools in Kali Linux","['Leverage the power of Kali Linux as a forensic analysis platform', 'Recover deleted data bypassing the file system', 'Explore well-known tools such as Nessus and OpenVas to perform vulnerability assessments']"
60345,4106390,Numpy Library for data science (All in one),software,All Levels,Start your career towards the field of data science,"['Different Numpy function applied as Matrix/Array Operations', 'You will learn Numpy - Numerical Python Library', 'Various mathematical functions of Numpy']"
60354,3874470,Accessing Relational Databases with Quarkus,software,Intermediate Level,Map and query your entities from relational databases using JPA and Panache ORM,"['Understand the persistence ecosystem and how Quarkus supports it', 'Bootstrap three data-centric applications with Quarkus', 'Develop, configure and test each application separately using JDBC, JPA, Panache ORM, JUnit and RestAssured']"
60360,2659034,Learning the Open Source GIS Stack: Web Mapping w/ Geoserver,software,All Levels,building cloud based GIS solutions for your enterprise,"['You will learn how to install Geoserver,', 'Load spatial and attribute data into Geoserver', 'Server vector, raster, and attribute data on the Internet with Geoserver']"
60363,3630492,CCA175 Exam Prep Qs pt B (With Spark 2.4 Hadoop Cluster VM),software,All Levels,Practice for CCA175 Test | Data Analysis Qs | Spark 2.4 Hadoop Cluster VM | Cloudera Spark & Hadoop Developer | Inc Data,"['Students will get hands-on experience working in a Spark Hadoop environment', 'Students will get to practice using metastore tables as an input source or an output sink for Spark applications', 'Students will get to exercise their understanding of the fundamentals of querying datasets in Spark']"
60402,3013270,Synology NAS Storage Administrator - Zero To Hero,software,Beginner Level,"Learn all the details about Synology NAS, and access your data from anywhere in the world throughout Synology appliance","['System Administrator', 'Storage Administrator', 'IT Support']"
60405,1321826,"Python Regular Expressions: Zero to Hero, Project-based!",software,Beginner Level,"Learn to use Python REGEX for Text Analytics including Web and PDF File Scraping, Bioinformatics and Datamining 3.5 Hrs!","['How to use Python + REGEX to quickly  search, match, replace, clean and optimise various aspect of a data set', 'How to use the Python regular expressions (re) module and relevant functions', 'How to deal with projects with real world data examples']"
60407,2081014,Anti Phishing and Email Security Training,software,Beginner Level,Email Security Protection for Employees & Managers,['Organisational email security and how employees/managers can reduce the risk of a data breach']
60431,1962356,QGIS for Beginners #4: Learn Geocoding QGIS 3.FREE 86p eBook,software,Beginner Level,"QGIS tutorial: Geocoding spreadsheet address data to Google maps, street lines & address points. Geography, Q GIS","['What is Geocoding.', 'Geocode address in QGIS.', 'Simple string commands to prepare a spreadsheet of addresses to be compatible with each Geocoding algorithm.']"
60456,2266106,Telegram bot with Python and Dialogflow,software,Beginner Level,Create Joke bot with Dialogflow,"['How to create telegram bot using python', 'How to integrate telegram bot with Google DialogFlow']"
60459,3522078,"Spring Boot Data JPA, Entity Mappings",software,Intermediate Level,"JpaRepository, CrudRepository, Entity Relationships, REST API, JSON data","['How to use Spring Boot JPA to interact with Database', 'Different Entity Mappings(One to One, One to Many, Many to One, many to Many)', 'Spring Boot Framework, Service and Repository components']"
60477,3093526,AWS Certified Database - Specialty Practice Test,software,All Levels,140+ Latest 2020 Practice Test for Exam Preparations with Detail Explanation and Reference link,"['Learn how to design, recommend, and maintain the optimal AWS database solution', 'Learn how to pass the AWS Certified Database - Specialty Exam in the first attempt']"
60482,4289384,Create own Artificial Neural Network in Python,software,Beginner Level,"ANN from beginning. In this course I shall show a very basic example,thank you","['Basics of artificial neural network', 'Basics of python programming', 'Steps of algorithm for creating neural network']"
60485,2577620,Glassfish Server Administration for Beginners (Step-By-Step),software,Beginner Level,Create a complete free license environment for deploying Java Web Services and Java Application using MySQL & Glassfish,"['Installing and Configuring Glassfish Server', 'Create a complete free license environment for your java web service or java application using Glassfish and MySql database', 'Glassfish Domain and Instances']"
60488,1961770,Appium with python,software,Beginner Level,"Learn python, appium for android app testing",['They will be able to use python as a programming language to use appium to test the mobile applications']
60491,2249470,Get Started ~ Talend/Big Data/GCP BigQuery & Data Studio,software,Intermediate Level,"Fast track instruction to ingest, convert, load & visualize a BigQuery table using TOS (Talend Open Studio) for Big Data","['Share techniques to connect successfully with Talend Open Studio to Google Cloud Platform services', 'Fast track steps to use TOS to load tables in BigQuery and access using SQL queries', 'Learn best techniques to convert source datatypes to modified target datatypes']"
60493,2745872,Vertica Database 9.2.1 and MC Installation on CentOS Linux,software,All Levels,Complete tutorial for Vertica single node cluster installation and administration with step by step hands on exercise,"['CentsOS download and installation in Virtualbox as a guest operating system', 'CentOS configuration for Vertica installation', 'Registration and download process of Vertica database and management console community edition software']"
60501,3082644,ESP32 + Databases to Control Anything Anywhere,software,All Levels,Step by Step Course to control stuff from all around the world with ESP32 and Databases,"['Create A Simple ESP32 HTTP Request In Arduino IDE', 'Get a FREE Hosting server and domain name', 'Create PHP script to insert data into MySQL']"
60511,2378984,Apache Kafka for developers,software,Beginner Level,A beginners course for Java developers to practice big data ingestion with Kafka,"['Apache Kafka is a popular tool used  in many big data analytics projects to get data from other systems into big data system. Through this course students can develop Apache Kafka applications that send and receive data from Kafka clusters.', 'By the end of this course, students will be able to , set up a personal Kafka development environment, develop a Kafka producer to send messages, develop a Kafka consumer to receive messages.', 'You will also practice the Kafka command line interfaces for producing and consuming messages.']"
60514,4357106,1Z0-1094-2021 Oracle Cloud Database Migration & Integration,software,Expert Level,Migration Specilist,"['Oracle Migrations', 'Migrate from on-premises to Cloud', 'RMAN , Goldengate, datapump']"
60522,2060775,Be a Java professional. Let's implement a database server.,software,Beginner Level,"Learn Java. Gain routine in implementation, creation and handling of complex projects","['At the end of the course, students will learn Java language better and will have a great experience in implementing, handling complex projects, create and monitor applications regarding memory and CPU usage and they gain an important ability: gain routine in implementation, creation and handling complex projects.', 'Be a professional Java developer']"
60528,805710,The Fast Track Introduction to MySQL on RDS,software,Intermediate Level,Get up to Speed with MySQL Administration On RDS,"['Be able to create and administrate a MySQL RDS Instance. ', ""You'll learn how to migrate schema and data to an RDS MySQL Instance."", 'The course was designed for DBAs and developers who want to get up to speed with MySQL on RDS as quickly as possible.']"
60547,3920796,Machine Learning in R: Land Use Land Cover Image Analysis,software,Intermediate Level,"Learn supervised machine learning for Remote Sensing R & R-Studio, image classification, land use and land cover mapping","['Learn supervised machine learning for image classification using R-programming language in R-Studio', 'Learn theoretical background of Machine Learning', 'Apply machine learning based algorithms (random forest, SVM) for image classification analysis in R and R-Studio']"
60559,2039304,Active Directory: Introduction and Administration Tools,software,All Levels,"AD DS components: schema, forest, domain, OU (Organizational Unit), containers. Tools introduction: ADAC, and more...","['Describe OUs and their purpose.', 'Describe AD DS forests and trees and explain how you can deploy them in a network.', 'Explain how an AD DS schema provides a set of rules that manage the objects and attributes that the AD DS domain database stores.']"
60571,3601620,MTA 98-364 Database Fundamentals Prep Course,software,Beginner Level,Presented by FortisureIT,['SQL Server database fundamentals as it relates to the MTA 98-364 exam certification']
60581,2830978,Oracle Transactional Business Intelligence OTBI,software,All Levels,Learn OTBI Analysis and Dashboard,"['You will learn what are the reporting tools available in Oracle Fusion. After that you will learn about various options of generating reports, analysis, dashboards etc. using OTBI']"
60584,1922696,Rich text editing in React with Draft.js,software,Beginner Level,Add and modify rich text in your React application,"['How to add rich text editor component to your React application', 'How to add features like bold and underline to the editor', 'How to save rich text content to database']"
60585,1270278,Basics of IP and Data Communication,software,Beginner Level,Get to know more about internet protocol and basics of data communication,"['IP Fundamentals', 'IP Networking', 'IP Routing Protocols']"
60587,4346868,data build tool in Cloud(dbt Cloud),software,All Levels,"Learn data build tool (dbt) in Cloud from basic to advanced, scenarios, test cases, deployment, document generation ,etc","['dbt Cloud from basic to advanced', 'Transformations using Select statements in SQL', 'Connecting dbt Cloud to AWS RDS PostgreSql']"
